xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[1]/td,Definitions; Interpretation and Construction,15,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[1],Section 1.01.   Definitions,16,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[3]/td[2],2,17,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[1],Section 1.02.   Other Terms,18,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[4]/td[2],17,19,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[1],Section 1.03.   Interpretation and Construction,20,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[5]/td[2],17,21,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td,ARTICLE II,22,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[7]/td,The Transactions,23,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[1],Section 2.01.   The Offer,24,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[9]/td[2],18,25,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[1],Section 2.02.   Company Actions,26,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[10]/td[2],21,27,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[1],Section 2.03.   The Merger,28,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[11]/td[2],21,29,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[1],Section 2.04.   Closing,30,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[12]/td[2],22,31,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[1],Section 2.05.   Effective Time,32,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[13]/td[2],22,33,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[1],Section 2.06.   Merger Without Meeting of Stockholders,34,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[14]/td[2],22,35,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[1],Section 2.07.   Effects of the Merger,36,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[15]/td[2],22,37,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[1],Section 2.08.   Certificate of Incorporation of the Surviving Corporation,38,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[16]/td[2],22,39,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[1],Section 2.09.   Bylaws of the Surviving Corporation,40,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[17]/td[2],22,41,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[1],Section 2.10.   Directors of the Surviving Corporation,42,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[18]/td[2],23,43,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[1],Section 2.11.   Officers of the Surviving Corporation,44,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[19]/td[2],23,45,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td,ARTICLE III,46,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[21]/td,Effect of the Merger on the Capital Stock; Exchange of Certificates,47,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[1],Section 3.01.   Effect on Capital Stock,48,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[23]/td[2],23,49,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[1],Section 3.02.   Delivery of Merger Consideration,50,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[24]/td[2],24,51,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[1],Section 3.03.   Treatment of Company Equity Awards,52,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[25]/td[2],28,53,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[1],Section 3.04.   Adjustments,54,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[26]/td[2],29,55,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td,ARTICLE IV,56,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[28]/td,Representations and Warranties of the Company,57,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[1],"Section 4.01.   Organization, Good Standing and Qualification",58,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[30]/td[2],29,59,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[1],Section 4.02.   Capital Structure,60,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[31]/td[2],30,61,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[1],Section 4.03.   Corporate Authority; Approval and Fairness,62,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[32]/td[2],32,63,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[1],Section 4.04.   Governmental Filings; No Violations.,64,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[33]/td[2],32,65,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[1],Section 4.05.   Compliance with Laws; Regulatory Matters; and Licenses.,66,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[34]/td[2],33,67,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[35]/td[1],Section 4.06.   Title to Assets,68,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[1]/tbody/tr[35]/td[2],35,69,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/div[3]/p/font,-,70,/html/body/document/type/sequence/filename/description/text/div[3]/p/font,-,n,2,"[0.026228760405975597, 0.4956215277777778, 0.00875111111111111, 0.00034211426616489907]",5.0,8.0,0.026228760405975597,0.4956215277777778,0.00875111111111111,0.00034211426616489907,0.026228760405975597,3.0,b_n
/html/body/document/type/sequence/filename/description/text/div[3]/p/font,i,71,/html/body/document/type/sequence/filename/description/text/div[3]/p/font,i,n,2,"[0.026228760405975597, 0.4956215277777778, 0.00875111111111111, 0.00034211426616489907]",5.0,9.0,0.026228760405975597,0.4956215277777778,0.00875111111111111,0.00034211426616489907,0.026228760405975597,3.0,i_n
/html/body/document/type/sequence/filename/description/text/div[3]/p/font,-,72,/html/body/document/type/sequence/filename/description/text/div[3]/p/font,-,n,2,"[0.026228760405975597, 0.4956215277777778, 0.00875111111111111, 0.00034211426616489907]",5.0,10.0,0.026228760405975597,0.4956215277777778,0.00875111111111111,0.00034211426616489907,0.026228760405975597,3.0,e_n
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[1],Section 4.07.   Company Reports,73,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[1]/td[2],36,74,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[1],Section 4.08.   Disclosure Controls and Procedures and Internal Control Over Financial Reporting,75,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[2]/td[2],36,76,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[1],Section 4.09.   Financial Statements; No Undisclosed Liabilities; Off-Balance Sheet Arrangements,77,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[3]/td[2],38,78,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[1],Section 4.10.   Litigation,79,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[4]/td[2],39,80,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[1],Section 4.11.   Absence of Certain Changes,81,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[5]/td[2],39,82,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[1],Section 4.12.   Material Contracts,83,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[6]/td[2],40,84,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[1],Section 4.13.   Employee Benefits,85,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[7]/td[2],43,86,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[1],Section 4.14.   Labor Matters,87,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[8]/td[2],45,88,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[1],Section 4.15.   Environmental Matters,89,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[9]/td[2],46,90,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[1],Section 4.16.   Tax Matters,91,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[10]/td[2],46,92,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[1],Section 4.17.   Real Property.,93,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[11]/td[2],48,94,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[1],Section 4.18.   Intellectual Property; Data Privacy,95,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[12]/td[2],49,96,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[1],Section 4.19.   Insurance,97,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[13]/td[2],51,98,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[1],Section 4.20.   Customers and Suppliers,99,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[14]/td[2],51,100,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[1],Section 4.21.   Takeover Statutes,101,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[15]/td[2],52,102,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[1],Section 4.22.   Brokers and Finders,103,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[16]/td[2],52,104,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[1],Section 4.23.   Merger Approval,105,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[17]/td[2],52,106,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[1],Section 4.24.   Information Supplied; Offer Documents,107,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[18]/td[2],53,108,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[1],Section 4.25.   No Other Representations or Warranties,109,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[19]/td[2],53,110,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td,ARTICLE V,111,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[21]/td,Representations and Warranties of Parent and Merger Sub,112,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[1],"Section 5.01.   Organization, Good Standing and Qualification",113,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[23]/td[2],53,114,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[1],Section 5.02.   Capitalization and Business of Merger Sub,115,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[24]/td[2],54,116,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[1],Section 5.03.   Corporate Authority,117,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[25]/td[2],54,118,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[1],Section 5.04.   Governmental Filings; No Violations,119,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[26]/td[2],54,120,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[1],Section 5.05.   Litigation,121,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[27]/td[2],55,122,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[28]/td[1],Section 5.06.   Available Funds,123,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[28]/td[2],55,124,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[29]/td[1],Section 5.07.   Brokers and Finders,125,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[29]/td[2],56,126,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[30]/td[1],Section 5.08.   Information Supplied; Offer Documents,127,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[30]/td[2],56,128,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[31]/td[1],Section 5.09.   No Other Representations or Warranties,129,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[31]/td[2],56,130,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[33]/td,ARTICLE VI,131,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[33]/td,Covenants,132,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[35]/td[1],Section 6.01.   Interim Operations,133,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[35]/td[2],57,134,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[36]/td[1],Section 6.02.   Acquisition Proposals; Change of Recommendation,135,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[36]/td[2],61,136,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[37]/td[1],Section 6.03.   Approval of Sole Stockholder of Merger Sub,137,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[37]/td[2],65,138,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[38]/td[1],Section 6.04.   Cooperation; Regulatory Efforts; Status.,139,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[38]/td[2],65,140,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[39]/td[1],Section 6.05.   Third-Party Consents,141,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[39]/td[2],66,142,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[40]/td[1],Section 6.06.   Information and Access,143,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[40]/td[2],67,144,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[41]/td[1],Section 6.07.   Publicity,145,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[2]/tbody/tr[41]/td[2],68,146,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/div[5]/p/font,-,147,/html/body/document/type/sequence/filename/description/text/div[5]/p/font,-,n,3,"[0.044486258410309044, 0.49433611111111114, 0.011322708333333334, 0.00034211426616489907]",5.0,11.0,0.044486258410309044,0.49433611111111114,0.011322708333333334,0.00034211426616489907,0.044486258410309044,3.0,b_n
/html/body/document/type/sequence/filename/description/text/div[5]/p/font,ii,148,/html/body/document/type/sequence/filename/description/text/div[5]/p/font,ii,n,3,"[0.044486258410309044, 0.49433611111111114, 0.011322708333333334, 0.00034211426616489907]",5.0,12.0,0.044486258410309044,0.49433611111111114,0.011322708333333334,0.00034211426616489907,0.044486258410309044,3.0,i_n
/html/body/document/type/sequence/filename/description/text/div[5]/p/font,-,149,/html/body/document/type/sequence/filename/description/text/div[5]/p/font,-,n,3,"[0.044486258410309044, 0.49433611111111114, 0.011322708333333334, 0.00034211426616489907]",5.0,13.0,0.044486258410309044,0.49433611111111114,0.011322708333333334,0.00034211426616489907,0.044486258410309044,3.0,e_n
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[1]/td[1],Section 6.08.   Employee Benefits,150,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[1]/td[2],69,151,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[2]/td[1],Section 6.09.   Indemnification; Directors’ and Officers’ Insurance,152,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[2]/td[2],70,153,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[3]/td[1],Section 6.10.   Takeover Statutes,154,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[3]/td[2],72,155,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[4]/td[1],Section 6.11.   Transaction Litigation,156,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[4]/td[2],72,157,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[5]/td[1],Section 6.12.   Section 16 Matters,158,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[5]/td[2],72,159,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[6]/td[1],Section 6.13.   Rule 14d-10 Matters,160,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[6]/td[2],73,161,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[7]/td[1],Section 6.14.   Delisting and Deregistration,162,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[7]/td[2],73,163,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[8]/td[1],Section 6.15.   FIRPTA Certificate,164,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[8]/td[2],73,165,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[9]/td[1],Section 6.16.   Financing Cooperation.,166,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[9]/td[2],74,167,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[10]/td[1],Section 6.17.   Pay-Off Letter and Lien Releases,168,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[10]/td[2],75,169,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[11]/td[1],Section 6.18.   Redemption of Company Preferred Stock..,170,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[11]/td[2],75,171,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[13]/td,ARTICLE VII,172,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[13]/td,Conditions Precedent,173,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[15]/td[1],Section 7.01.   Conditions to Each Party’s Obligation to Effect the Merger,174,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[15]/td[2],75,175,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[17]/td,ARTICLE VIII,176,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[17]/td,Termination,177,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[19]/td[1],Section 8.01.   Termination by Mutual Written Consent,178,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[19]/td[2],76,179,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[20]/td[1],Section 8.02.   Termination by Either the Company or Parent,180,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[20]/td[2],76,181,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[21]/td[1],Section 8.03.   Termination by the Company,182,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/table[3]/tbody/tr[21]/td[2],77,183,,,,,,,,,,,,,,o
