,xpaths,text,all_nodes_ordering
24,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[5]/td[1]/div/font[3],Directors and Officers of Surviving Entity,24
25,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[5]/td[2]/div/font,2,25
26,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[6]/td[1]/div/font[1],Section 1.04,26
27,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[6]/td[1]/div/font[3],Bank Merger,27
28,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[6]/td[2]/div/font,2,28
29,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[7]/td[1]/div/font[1],Section 1.05,29
30,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[7]/td[1]/div/font[3],Effective Time; Closing,30
31,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[7]/td[2]/div/font,3,31
32,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[8]/td[1]/div/font[1],Section 1.06,32
33,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[8]/td[1]/div/font[3],Additional Actions,33
34,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[8]/td[2]/div/font,3,34
35,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[9]/td[1]/div/font[1],Section 1.07,35
36,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[9]/td[1]/div/font[3],Reservation of Right to Revise Structure,36
37,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[9]/td[2]/div/font,3,37
38,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[10]/td/div/font[1],ARTICLE 2,38
39,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[10]/td/div/font[2],MERGER CONSIDERATION; EXCHANGE PROCEDURES,39
40,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[11]/td[1]/div/font[1],Section 2.01,40
41,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[11]/td[1]/div/font[3],Stock,41
42,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[11]/td[2]/div/font,4,42
43,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[12]/td[1]/div/font[1],Section 2.02,43
44,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[12]/td[1]/div/font[3],Stock Options and Other Stock Based Awards,44
45,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[12]/td[2]/div/font,5,45
46,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[13]/td[1]/font,Section 2.03    Merger Consideration,46
47,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[13]/td[2]/div/font,5,47
48,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[14]/td[1]/div/font[1],Section 2.04,48
49,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[14]/td[1]/div/font[3],Fractional Shares,49
50,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[14]/td[2]/div/font,5,50
51,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[15]/td[1]/div/font[1],Section 2.05,51
52,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[15]/td[1]/div/font[3],Plan of Reorganization,52
53,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[15]/td[2]/div/font,6,53
54,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[16]/td[1]/div/font[1],Section 2.06,54
55,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[16]/td[1]/div/font[3],Dissenting Shares,55
56,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[16]/td[2]/div/font,6,56
57,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[17]/td[1]/div/font[1],Section 2.07,57
58,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[17]/td[1]/div/font[3],Deposit of Stock Consideration,58
59,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[17]/td[2]/div/font,6,59
60,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[18]/td[1]/div/font[1],Section 2.08,60
61,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[18]/td[1]/div/font[3],Exchange Procedures,61
62,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[18]/td[2]/div/font,7,62
63,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[19]/td[1]/div/font[1],Section 2.09,63
64,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[19]/td[1]/div/font[3],Anti-Dilution Provisions,64
65,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[19]/td[2]/div/font,8,65
66,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[20]/td[1]/div/font[1],Section 2.10,66
67,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[20]/td[1]/div/font[3],"Lost, Stolen, or Destroyed Certificates",67
68,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[20]/td[2]/div/font,9,68
69,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[21]/td/div/font[1],ARTICLE 3,69
70,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[21]/td/div/font[2],REPRESENTATIONS AND WARRANTIES OF FIRST CHOICE AND FIRST CHOICE BANK,70
71,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[22]/td[1]/div/font[1],Section 3.01,71
72,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[22]/td[1]/div/font[3],Making of Representations and Warranties,72
73,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[22]/td[2]/div/font,9,73
74,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[23]/td[1]/div/font[1],Section 3.02,74
75,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[23]/td[1]/div/font[3],"Organization, Standing and Authority",75
76,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[23]/td[2]/div/font,10,76
77,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[24]/td[1]/div/font[1],Section 3.03,77
78,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[24]/td[1]/div/font[3],Capital Stock,78
79,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[24]/td[2]/div/font,10,79
80,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[25]/td[1]/div/font[1],Section 3.04,80
81,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[25]/td[1]/div/font[3],Subsidiaries.,81
82,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[25]/td[2]/div/font,12,82
83,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[26]/td[1]/div/font[1],Section 3.05,83
84,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[26]/td[1]/div/font[3],Power and Authority Relative to this Agreement; No Conflict,84
85,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[26]/td[2]/div/font,12,85
86,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[27]/td[1]/div/font[1],Section 3.06,86
87,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[27]/td[1]/div/font[3],SEC Documents; Financial Statements,87
88,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[27]/td[2]/div/font,14,88
89,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[28]/td[1]/div/font[1],Section 3.07,89
90,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[28]/td[1]/div/font[3],Regulatory Reports,90
91,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[28]/td[2]/div/font,15,91
92,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[29]/td[1]/div/font[1],Section 3.08,92
93,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[29]/td[1]/div/font[3],Regulatory Approvals; No Defaults,93
94,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[29]/td[2]/div/font,16,94
95,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[30]/td[1]/div/font[1],Section 3.09,95
96,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[30]/td[1]/div/font[3],Absence of Certain Changes or Events,96
97,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[30]/td[2]/div/font,16,97
98,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[31]/td[1]/div/font[1],Section 3.10,98
99,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[31]/td[1]/div/font[3],Compliance with Laws,99
100,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[31]/td[2]/div/font,17,100
101,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[32]/td[1]/div/font[1],Section 3.11,101
102,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[32]/td[1]/div/font[3],Legal Proceedings; Orders,102
103,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[32]/td[2]/div/font,18,103
104,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[33]/td[1]/div/font[1],Section 3.12,104
105,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[33]/td[1]/div/font[3],First Choice Material Contracts; Defaults,105
106,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[33]/td[2]/div/font,18,106
107,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[34]/td[1]/div/font[1],Section 3.13,107
108,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[34]/td[1]/div/font[3],Agreements with Regulatory Agencies,108
109,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[34]/td[2]/div/font,20,109
110,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[35]/td[1]/div/font[1],Section 3.14,110
111,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[35]/td[1]/div/font[3],Brokers,111
112,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[35]/td[2]/div/font,20,112
113,/html/body/document/type/sequence/filename/description/text/div[18]/div/div/font,i,113
114,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[2]/td[1]/div/font[1],Section 3.15,114
115,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[2]/td[1]/div/font[3],Employee Benefit Plans,115
116,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[2]/td[2]/div/font,21,116
117,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[3]/td[1]/div/font[1],Section 3.16,117
118,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[3]/td[1]/div/font[3],Labor Matters,118
119,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[3]/td[2]/div/font,23,119
120,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[4]/td[1]/div/font[1],Section 3.17,120
121,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[4]/td[1]/div/font[3],Environmental Matters.,121
122,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[4]/td[2]/div/font,25,122
123,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[5]/td[1]/div/font[1],Section 3.18,123
124,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[5]/td[1]/div/font[3],Tax Matters,124
125,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[5]/td[2]/div/font,26,125
126,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[6]/td[1]/div/font[1],Section 3.19,126
127,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[6]/td[1]/div/font[3],Investment Securities,127
128,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[6]/td[2]/div/font,29,128
129,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[7]/td[1]/div/font[1],Section 3.20,129
130,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[7]/td[1]/div/font[3],Derivative Transactions,130
131,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[7]/td[2]/div/font,29,131
132,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[8]/td[1]/div/font[1],Section 3.21,132
133,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[8]/td[1]/div/font[3],Regulatory Capitalization,133
134,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[8]/td[2]/div/font,30,134
135,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[9]/td[1]/div/font[1],Section 3.22,135
136,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[9]/td[1]/div/font[3],Loans; Nonperforming and Classified Assets,136
137,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[9]/td[2]/div/font,30,137
138,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[10]/td[1]/div/font[1],Section 3.23,138
139,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[10]/td[1]/div/font[3],Allowance for Loan and Lease Losses,139
140,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[10]/td[2]/div/font,32,140
141,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[11]/td[1]/div/font[1],Section 3.24,141
142,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[11]/td[1]/div/font[3],Trust Business; Administration of Fiduciary Accounts,142
143,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[11]/td[2]/div/font,32,143
144,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[12]/td[1]/div/font[1],Section 3.25,144
145,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[12]/td[1]/div/font[3],Investment Management and Related Activities,145
146,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[12]/td[2]/div/font,32,146
147,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[13]/td[1]/div/font[1],Section 3.26,147
148,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[13]/td[1]/div/font[3],Repurchase Agreements,148
149,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[13]/td[2]/div/font,32,149
150,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[14]/td[1]/div/font[1],Section 3.27,150
151,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[14]/td[1]/div/font[3],Deposit Insurance,151
152,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[14]/td[2]/div/font,32,152
153,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[15]/td[1]/div/font[1],Section 3.28,153
154,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[15]/td[1]/div/font[3],"Community Reinvestment Act, Anti-money Laundering and Customer Information Security",154
155,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[15]/td[2]/div/font,33,155
156,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[16]/td[1]/div/font[1],Section 3.29,156
157,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[16]/td[1]/div/font[3],Transactions with Affiliates,157
158,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[16]/td[2]/div/font,33,158
159,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[17]/td[1]/div/font[1],Section 3.30,159
160,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[17]/td[1]/div/font[3],Tangible Properties and Assets,160
161,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[17]/td[2]/div/font,34,161
162,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[18]/td[1]/div/font[1],Section 3.31,162
163,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[18]/td[1]/div/font[3],Intellectual Property,163
164,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[18]/td[2]/div/font,35,164
165,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[19]/td[1]/div/font[1],Section 3.32,165
166,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[19]/td[1]/div/font[3],IT Assets; Privacy and Information Security,166
167,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[19]/td[2]/div/font,37,167
168,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[20]/td[1]/div/font[1],Section 3.33,168
169,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[20]/td[1]/div/font[3],Insurance,169
170,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[20]/td[2]/div/font,38,170
171,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[21]/td[1]/div/font[1],Section 3.34,171
172,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[21]/td[1]/div/font[3],Disaster Recovery and Business Continuity,172
173,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[21]/td[2]/font,38,173
174,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[22]/td[1]/div/font[1],Section 3.35,174
175,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[22]/td[1]/div/font[3],Antitakeover Provisions,175
176,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[22]/td[2]/font,39,176
177,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[23]/td[1]/div/font[1],Section 3.36,177
178,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[23]/td[1]/div/font[3],Opinion,178
179,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[23]/td[2]/div/font,39,179
180,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[24]/td[1]/div/font[1],Section 3.37,180
181,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[24]/td[1]/div/font[3],First Choice Information,181
182,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[24]/td[2]/div/font,39,182
183,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[25]/td[1]/div/font[1],Section 3.38,183
184,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[25]/td[1]/div/font[3],No Other Representations and Warranties,184
185,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[25]/td[2]/div/font,39,185
186,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[26]/td/div/font[1],ARTICLE 4,186
187,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[26]/td/div/font[2],REPRESENTATIONS AND WARRANTIES OF ENTERPRISE AND EB&T,187
188,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[27]/td[1]/div/font[1],Section 4.01,188
189,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[27]/td[1]/div/font[3],Making of Representations and Warranties,189
190,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[27]/td[2]/div/font,39,190
191,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[28]/td[1]/div/font[1],Section 4.02,191
192,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[28]/td[1]/div/font[3],"Organization, Standing and Authority",192
193,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[28]/td[2]/div/font,40,193
194,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[29]/td[1]/div/font[1],Section 4.03,194
195,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[29]/td[1]/div/font[3],Capital Stock.,195
196,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[29]/td[2]/div/font,41,196
197,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[30]/td[1]/div/font[1],Section 4.04,197
198,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[30]/td[1]/div/font[3],Power and Authority Relative to this Agreement; No Conflict,198
199,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[30]/td[2]/div/font,42,199
200,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[31]/td[1]/div/font[1],Section 4.05,200
201,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[31]/td[1]/div/font[3],SEC Documents; Financial Statements,201
202,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[31]/td[2]/div/font,43,202
203,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[32]/td[1]/div/font[1],Section 4.06,203
204,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[32]/td[1]/div/font[3],Regulatory Reports,204
205,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[32]/td[2]/div/font,45,205
206,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[33]/td[1]/div/font[1],Section 4.07,206
207,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[33]/td[1]/div/font[3],Regulatory Approvals; No Defaults,207
208,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[33]/td[2]/div/font,45,208
209,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[34]/td[1]/div/font[1],Section 4.08,209
210,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[34]/td[1]/div/font[3],Legal Proceedings; Orders,210
211,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[34]/td[2]/div/font,46,211
212,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[35]/td[1]/div/font[1],Section 4.09,212
213,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[35]/td[1]/div/font[3],Absence of Certain Changes or Events,213
214,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[35]/td[2]/div/font,46,214
215,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[36]/td[1]/div/font[1],Section 4.10,215
216,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[36]/td[1]/div/font[3],Compliance with Laws,216
217,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[36]/td[2]/div/font,46,217
218,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[37]/td[1]/div/font[1],Section 4.11,218
219,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[37]/td[1]/div/font[3],Brokers,219
220,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[37]/td[2]/div/font,47,220
221,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[38]/td[1]/div/font[1],Section 4.12,221
222,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[38]/td[1]/div/font[3],Tax Matters,222
223,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[38]/td[2]/font,47,223
224,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[39]/td[1]/div/font[1],Section 4.13,224
225,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[39]/td[1]/div/font[3],Regulatory Capitalization,225
226,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[39]/td[2]/div/font,48,226
227,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[40]/td[1]/div/font[1],Section 4.14,227
228,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[40]/td[1]/div/font[3],Enterprise Material Contracts; Defaults.,228
229,/html/body/document/type/sequence/filename/description/text/div[20]/table/tbody/tr[40]/td[2]/div/font,48,229
230,/html/body/document/type/sequence/filename/description/text/div[21]/div/div/font,ii,230
231,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[2]/td[1]/div/font[1],Section 4.15,231
232,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[2]/td[1]/div/font[3],Employee Benefit Plans,232
233,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[2]/td[2]/div/font,48,233
234,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[3]/td[1]/div/font[1],Section 4.16,234
235,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[3]/td[1]/div/font[3],Labor Matters,235
236,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[3]/td[2]/div/font,49,236
237,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[4]/td[1]/div/font[1],Section 4.17,237
238,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[4]/td[1]/div/font[3],Enterprise Regulatory Agreements,238
239,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[4]/td[2]/div/font,50,239
240,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[5]/td[1]/div/font[1],Section 4.18,240
241,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[5]/td[1]/div/font[3],"Community Reinvestment Act, Anti-money Laundering and Customer Information Security",241
242,/html/body/document/type/sequence/filename/description/text/div[23]/table/tbody/tr[5]/td[2]/div/font,50,242
