,xpaths,text,all_nodes_ordering
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,Section 1.2,25
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3]/u,Table of Definitions,26
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],20,27
28,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,Section 1.3,28
29,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3]/u,Other Definitional and Interpretative Provisions,29
30,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],22,30
31,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[11]/td[1],ARTICLE II,31
32,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[1],THE MERGER; EFFECT ON THE CAPITAL STOCK; PAYMENT,32
33,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[1]/p,Section 2.1,33
34,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[3]/u,The Merger,34
35,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[6],23,35
36,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[1]/p,Section 2.2,36
37,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[3]/u,Closing,37
38,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[6],23,38
39,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[1]/p,Section 2.3,39
40,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[3]/u,Effective Time,40
41,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[6],23,41
42,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[1]/p,Section 2.4,42
43,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[3]/u,Surviving Corporation Matters,43
44,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[6],24,44
45,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[1]/p,Section 2.5,45
46,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[3]/u,Effect of the Merger on Capital Stock of the Company and Merger Sub,46
47,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[6],24,47
48,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[1]/p,Section 2.6,48
49,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[3]/u,Certain Adjustments,49
50,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[6],25,50
51,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[1]/p,Section 2.7,51
52,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[3]/u,Appraisal Shares,52
53,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[6],25,53
54,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[1]/p,Section 2.8,54
55,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[3]/u,Payment for Company Stock,55
56,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[6],25,56
57,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[1]/p,Section 2.9,57
58,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[3]/u,Further Assurances,58
59,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[6],28,59
60,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[24]/td[1]/p,Section 2.10,60
61,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[24]/td[3]/u,Treatment of Company Awards,61
62,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[24]/td[6],28,62
63,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[1]/p,Section 2.11,63
64,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[3]/u,Withholding,64
65,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[6],30,65
66,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[1]/p,Section 2.12,66
67,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[3]/u,Escrow Deposit and Release,67
68,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[6],30,68
69,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[1]/p,Section 2.13,69
70,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[3]/u,FIRPTA Certificate,70
71,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[6],30,71
72,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[1],ARTICLE III,72
73,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[1],REPRESENTATIONS AND WARRANTIES OF THE COMPANY,73
74,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[1]/p,Section 3.1,74
75,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[3]/u,Corporate Existence and Power,75
76,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[6],31,76
77,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[34]/td[1]/p,Section 3.2,77
78,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[34]/td[3]/u,Corporate Authorization,78
79,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[34]/td[6],31,79
80,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[1]/p,Section 3.3,80
81,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[3]/u,Governmental Authorization,81
82,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[6],32,82
83,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[1]/p,Section 3.4,83
84,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[3]/u/font,Non-Contravention,84
85,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[6],32,85
86,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[1]/p,Section 3.5,86
87,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[3]/u,Capitalization,87
88,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[6],33,88
89,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[1]/p,Section 3.6,89
90,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[3]/u,Subsidiaries,90
91,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[6],34,91
92,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[1]/p,Section 3.7,92
93,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[3]/u,SEC Filings; the Sarbanes-Oxley Act; Related Party Transactions,93
94,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[6],35,94
95,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[1]/p,Section 3.8,95
96,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[3]/u,Financial Statements,96
97,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[6],36,97
98,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[1]/p,Section 3.9,98
99,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[3]/u,Information Supplied,99
100,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[6],37,100
101,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[1]/p,Section 3.10,101
102,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[3]/u,Absence of Certain Changes,102
103,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[6],37,103
104,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[1]/p,Section 3.11,104
105,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[3]/u,No Undisclosed Material Liabilities,105
106,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[6],37,106
107,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[1]/p,Section 3.12,107
108,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[3]/u,Compliance with Laws and Court Orders; Governmental Authorizations,108
109,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[6],38,109
110,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[1]/p,Section 3.13,110
111,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[3]/u,Litigation,111
112,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[6],38,112
113,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,113
114,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[2]/td[1]/p,Section 3.14,114
115,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[2]/td[3]/u,Properties,115
116,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[2]/td[6],38,116
117,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[1]/p,Section 3.15,117
118,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[3]/u,Intellectual Property,118
119,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[6],40,119
120,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[4]/td[1]/p,Section 3.16,120
121,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[4]/td[3]/u,Data Privacy and Security,121
122,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[4]/td[6],42,122
123,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[1]/p,Section 3.17,123
124,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[3]/u,Taxes,124
125,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[6],42,125
126,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[6]/td[1]/p,Section 3.18,126
127,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[6]/td[3]/u,Employee Benefit Plans,127
128,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[6]/td[6],44,128
129,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[1]/p,Section 3.19,129
130,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[3]/u,Employees; Labor Matters,130
131,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[6],47,131
132,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[8]/td[1]/p,Section 3.20,132
133,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[8]/td[3]/u,Environmental Matters,133
134,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[8]/td[6],48,134
135,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[1]/p,Section 3.21,135
136,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[3]/u,Material Contracts,136
137,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[6],49,137
138,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[10]/td[1]/p,Section 3.22,138
139,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[10]/td[3]/u,Customers; Suppliers,139
140,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[10]/td[6],51,140
141,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[1]/p,Section 3.23,141
142,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[3]/u,"Finders’ Fee, etc",142
143,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[6],52,143
144,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[12]/td[1]/p,Section 3.24,144
145,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[12]/td[3]/u,Opinion of Financial Advisor,145
146,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[12]/td[6],52,146
147,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[1]/p,Section 3.25,147
148,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[3]/u,Antitakeover Statutes,148
149,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[6],52,149
150,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[14]/td[1]/p,Section 3.26,150
151,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[14]/td[3]/u,Certain Business Practices,151
152,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[14]/td[6],52,152
153,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[1]/p,Section 3.27,153
154,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[3]/u,Insurance,154
155,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[6],53,155
156,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[16]/td[1]/p,Section 3.28,156
157,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[16]/td[3]/u,Aboriginal Matters,157
158,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[16]/td[6],53,158
159,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[1]/p,Section 3.29,159
160,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[3]/u,No Additional Representations; Acknowledgment,160
161,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[6],53,161
162,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[19]/td[1],ARTICLE IV,162
163,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[21]/td[1],REPRESENTATIONS AND WARRANTIES OF PARENT AND MERGER SUB,163
164,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[1]/p,Section 4.1,164
165,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[3]/u,Corporate Existence,165
166,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[6],54,166
167,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[24]/td[1]/p,Section 4.2,167
168,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[24]/td[3]/u,Corporate Power and Authorization; Merger Sub,168
169,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[24]/td[6],54,169
170,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[1]/p,Section 4.3,170
171,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[3]/u,Governmental Authorization,171
172,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[6],55,172
173,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[26]/td[1]/p,Section 4.4,173
174,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[26]/td[3]/u/font,Non-Contravention,174
175,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[26]/td[6],55,175
176,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[1]/p,Section 4.5,176
177,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[3]/u,Information Supplied,177
178,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[6],55,178
179,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[28]/td[1]/p,Section 4.6,179
180,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[28]/td[3]/u,Financing,180
181,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[28]/td[6],56,181
182,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[1]/p,Section 4.7,182
183,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[3]/u,Solvency,183
184,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[6],57,184
185,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[30]/td[1]/p,Section 4.8,185
186,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[30]/td[3]/u,Litigation,186
187,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[30]/td[6],57,187
188,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[1]/p,Section 4.9,188
189,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[3]/u,Share Ownership,189
190,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[6],58,190
191,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[32]/td[1]/p,Section 4.10,191
192,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[32]/td[3]/u,"Finders’ Fee, etc",192
193,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[32]/td[3],.,193
194,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[32]/td[6],58,194
195,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[1]/p,Section 4.11,195
196,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[3]/u,Taxes,196
197,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[6],58,197
198,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[34]/td[1]/p,Section 4.12,198
199,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[34]/td[3]/u,No Additional Representations; Acknowledgment,199
200,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[34]/td[6],58,200
201,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[36]/td[1],ARTICLE V,201
202,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[38]/td[1],COVENANTS OF THE COMPANY,202
203,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[40]/td[1]/p,Section 5.1,203
204,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[40]/td[3]/u,Conduct of the Company,204
205,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[40]/td[6],59,205
206,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[1]/p,Section 5.2,206
207,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[3]/u,Proxy Statement,207
208,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[6],62,208
209,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[42]/td[1]/p,Section 5.3,209
210,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[42]/td[3]/u,Company Meeting,210
211,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[42]/td[6],64,211
212,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[1]/p,Section 5.4,212
213,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[3]/u,Contractor Matters,213
214,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[6],64,214
215,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[44]/td[1]/p,Section 5.5,215
216,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[44]/td[3]/u,Employee Census,216
217,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[44]/td[6],64,217
218,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],ii,218
219,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[3]/td[1],ARTICLE VI,219
220,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[5]/td[1],COVENANTS OF PARENT AND MERGER SUB,220
221,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[1]/p,Section 6.1,221
222,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[3]/u,Obligations of Merger Sub,222
223,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[6],64,223
224,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[8]/td[1]/p,Section 6.2,224
225,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[8]/td[3]/u,Director and Officer Indemnification,225
226,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[8]/td[6],65,226
227,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[1]/p,Section 6.3,227
228,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[3]/u,Employee Matters,228
229,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[6],66,229
230,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[10]/td[1]/p,Section 6.4,230
231,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[10]/td[3]/u,Conduct of Parent and Merger Sub,231
232,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[10]/td[6],69,232
233,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[12]/td[1],ARTICLE VII,233
234,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[14]/td[1],COVENANTS OF PARENT AND THE COMPANY,234
235,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[16]/td[1]/p,Section 7.1,235
236,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[16]/td[3]/u,Reasonable Best Efforts; Regulatory Approvals,236
237,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[16]/td[6],69,237
238,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[1]/p,Section 7.2,238
239,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[3]/u,Company Acquisition Proposals,239
240,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[6],72,240
241,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[18]/td[1]/p,Section 7.3,241
242,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[18]/td[3]/u,Financing,242
243,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[18]/td[6],76,243
244,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[1]/p,Section 7.4,244
245,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[3]/u,Public Announcements,245
246,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[6],82,246
247,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[20]/td[1]/p,Section 7.5,247
248,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[20]/td[3]/u,Notices of Certain Events,248
249,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[20]/td[6],82,249
250,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[1]/p,Section 7.6,250
251,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[3]/u,Access to Information,251
252,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[6],83,252
253,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[22]/td[1]/p,Section 7.7,253
254,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[22]/td[3]/u,Section 16 Matters,254
255,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[22]/td[6],84,255
