,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
25,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[11]/b[2],Certain Definitions.,sst,18,"[0.04581503572130825, 0.2552961403508772, 0.07899087719298245, 0.0003277184243298158]",1,25,0.04581503572130825,0.2552961403508772,0.07899087719298245,0.0003277184243298158,0.04581503572130825,1
26,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[15],1,n,19,"[0.04914683970199471, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,26,0.04914683970199471,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.04914683970199471,1
27,/html/body/document/type/sequence/filename/description/text/center[5]/div/p[23],2,n,20,"[0.06477900854252693, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,27,0.06477900854252693,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.06477900854252693,1
28,/html/body/document/type/sequence/filename/description/text/center[6]/div/p[19],3,n,21,"[0.0790129121059186, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,28,0.0790129121059186,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.0790129121059186,1
29,/html/body/document/type/sequence/filename/description/text/center[7]/div/p[20],4,n,22,"[0.09427366673221035, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,29,0.09427366673221035,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.09427366673221035,1
30,/html/body/document/type/sequence/filename/description/text/center[8]/div/p[9],5,n,23,"[0.10670511896178803, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,30,0.10670511896178803,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.10670511896178803,1
31,/html/body/document/type/sequence/filename/description/text/center[9]/div/p[18],6,n,24,"[0.11991217146227962, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,31,0.11991217146227962,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.11991217146227962,1
32,/html/body/document/type/sequence/filename/description/text/center[10]/div/p[17],7,n,25,"[0.13412422713071595, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,32,0.13412422713071595,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.13412422713071595,1
33,/html/body/document/type/sequence/filename/description/text/center[11]/div/p[21],8,n,26,"[0.14837997858906293, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,33,0.14837997858906293,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.14837997858906293,1
34,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[3]/b,ARTICLE II,sn,27,"[0.15103449782613446, 0.474040701754386, 0.05191887719298245, 0.0003277184243298158]",1,34,0.15103449782613446,0.474040701754386,0.05191887719298245,0.0003277184243298158,0.15103449782613446,1
35,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[4]/b,The Merger,st,28,"[0.15172270651722705, 0.47597614035087715, 0.04804828070175439, 0.0003277184243298158]",1,35,0.15172270651722705,0.47597614035087715,0.04804828070175439,0.0003277184243298158,0.15172270651722705,1
36,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[5]/b[1],2.01,ssn,29,"[0.15241091520831967, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,36,0.15241091520831967,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.15241091520831967,1
37,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[5]/b[2]/i,The Merger.,sst,30,"[0.15241091520831967, 0.2552961403508772, 0.04781249122807018, 0.0003277184243298158]",1,37,0.15241091520831967,0.2552961403508772,0.04781249122807018,0.0003277184243298158,0.15241091520831967,1
38,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[9]/b[1],2.02,ssn,31,"[0.15836446658364467, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,38,0.15836446658364467,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.15836446658364467,1
39,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[9]/b[2]/i,Effective Date and Effective Time,sst,32,"[0.15836446658364467, 0.2552961403508772, 0.12970385964912282, 0.0003277184243298158]",1,39,0.15836446658364467,0.2552961403508772,0.12970385964912282,0.0003277184243298158,0.15836446658364467,1
40,/html/body/document/type/sequence/filename/description/text/center[12]/div/p[11],9,n,33,"[0.16133578029756834, 0.49765894736842103, 0.0046820210526315785, 0.0003277184243298158]",1,40,0.16133578029756834,0.49765894736842103,0.0046820210526315785,0.0003277184243298158,0.16133578029756834,1
41,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[1]/b[1],2.03,ssn,34,"[0.16226431583316947, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,41,0.16226431583316947,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.16226431583316947,1
42,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[1]/b[2]/i,Tax Consequences,sst,35,"[0.16226431583316947, 0.2552961403508772, 0.07398035087719299, 0.0003277184243298158]",2,42,0.16226431583316947,0.2552961403508772,0.07398035087719299,0.0003277184243298158,0.16226431583316947,2
43,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[1]/b[3],.,sst,35,"[0.16226431583316947, 0.2552961403508772, 0.07398035087719299, 0.0003277184243298158]",2,43,0.16226431583316947,0.2552961403508772,0.07398035087719299,0.0003277184243298158,0.16226431583316947,2
44,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[2]/b,ARTICLE III,sn,36,"[0.1636407332153547, 0.472220350877193, 0.05555922807017544, 0.0003277184243298158]",1,44,0.1636407332153547,0.472220350877193,0.05555922807017544,0.0003277184243298158,0.1636407332153547,1
45,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[3]/b,"The Bank
Merger",st,37,"[0.1643289419064473, 0.46414456140350874, 0.07171087719298246, 0.0003277184243298158]",1,45,0.1643289419064473,0.46414456140350874,0.07171087719298246,0.0003277184243298158,0.1643289419064473,1
46,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[4]/b[1],3.01,ssn,38,"[0.16501715059753994, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,46,0.16501715059753994,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.16501715059753994,1
47,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[4]/b[2]/i,The Bank Merger.,sst,39,"[0.16501715059753994, 0.2552961403508772, 0.07094877192982456, 0.0003277184243298158]",1,47,0.16501715059753994,0.2552961403508772,0.07094877192982456,0.0003277184243298158,0.16501715059753994,1
48,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[7]/b[1],3.02,ssn,40,"[0.17045727644141487, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,48,0.17045727644141487,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.17045727644141487,1
49,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[7]/b[2]/i,Effective Date and Effective Time,sst,41,"[0.17045727644141487, 0.2552961403508772, 0.13204491228070175, 0.0003277184243298158]",2,49,0.17045727644141487,0.2552961403508772,0.13204491228070175,0.0003277184243298158,0.17045727644141487,2
50,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[7]/b[3],.,sst,41,"[0.17045727644141487, 0.2552961403508772, 0.13204491228070175, 0.0003277184243298158]",2,50,0.17045727644141487,0.2552961403508772,0.13204491228070175,0.0003277184243298158,0.17045727644141487,2
51,/html/body/document/type/sequence/filename/description/text/center[13]/div/p[9],10,n,42,"[0.17207402066810862, 0.49531789473684207, 0.009358526315789473, 0.0003277184243298158]",1,51,0.17207402066810862,0.49531789473684207,0.009358526315789473,0.0003277184243298158,0.17207402066810862,1
52,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[1]/b,ARTICLE IV,sn,43,"[0.17300255620370977, 0.4724835087719298, 0.05503291228070175, 0.0003277184243298158]",1,52,0.17300255620370977,0.4724835087719298,0.05503291228070175,0.0003277184243298158,0.17300255620370977,1
53,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[2]/b,Consideration; Exchange Procedures,st,44,"[0.1736907648948024, 0.4258554385964913, 0.1482842105263158, 0.0003277184243298158]",1,53,0.1736907648948024,0.4258554385964913,0.1482842105263158,0.0003277184243298158,0.1736907648948024,1
54,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[3]/b[1],4.01,ssn,45,"[0.174378973585895, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,54,0.174378973585895,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.174378973585895,1
55,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[3]/b[2]/i,Merger Consideration,sst,46,"[0.174378973585895, 0.2552961403508772, 0.08784561403508773, 0.0003277184243298158]",2,55,0.174378973585895,0.2552961403508772,0.08784561403508773,0.0003277184243298158,0.174378973585895,2
56,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[3]/b[3],.,sst,46,"[0.174378973585895, 0.2552961403508772, 0.08784561403508773, 0.0003277184243298158]",2,56,0.174378973585895,0.2552961403508772,0.08784561403508773,0.0003277184243298158,0.174378973585895,2
57,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[4],(a),sssn,47,"[0.17523104148915253, 0.265219649122807, 0.01272477192982456, 0.0003277184243298158]",1,57,0.17523104148915253,0.265219649122807,0.01272477192982456,0.0003277184243298158,0.17523104148915253,1
58,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[4]/u,Merger Consideration,ssst,48,"[0.17523104148915253, 0.2779438596491228, 0.08452280701754386, 0.0003277184243298158]",2,58,0.17523104148915253,0.2779438596491228,0.08452280701754386,0.0003277184243298158,0.17523104148915253,2
59,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[4],.,ssst,48,"[0.17523104148915253, 0.2779438596491228, 0.08452280701754386, 0.0003277184243298158]",2,59,0.17523104148915253,0.2779438596491228,0.08452280701754386,0.0003277184243298158,0.17523104148915253,2
60,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[5],(b),sssn,49,"[0.17676039413602498, 0.265219649122807, 0.013251087719298246, 0.0003277184243298158]",1,60,0.17676039413602498,0.265219649122807,0.013251087719298246,0.0003277184243298158,0.17676039413602498,1
61,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[5]/u,Outstanding United Stock,ssst,50,"[0.17676039413602498, 0.2784701754385965, 0.09717684210526316, 0.0003277184243298158]",1,61,0.17676039413602498,0.2784701754385965,0.09717684210526316,0.0003277184243298158,0.17676039413602498,1
62,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[6]/b[1],4.02,ssn,51,"[0.17778724519892508, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,62,0.17778724519892508,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.17778724519892508,1
63,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[6]/b[2]/i,Rights as Shareholders; Stock Transfers,sst,52,"[0.17778724519892508, 0.2552961403508772, 0.15559228070175438, 0.0003277184243298158]",1,63,0.17778724519892508,0.2552961403508772,0.15559228070175438,0.0003277184243298158,0.17778724519892508,1
64,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[7]/b[1],4.03,ssn,53,"[0.17949138100544013, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,64,0.17949138100544013,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.17949138100544013,1
65,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[7]/b[2]/i,Fractional Shares.,sst,54,"[0.17949138100544013, 0.2552961403508772, 0.07225894736842105, 0.0003277184243298158]",1,65,0.17949138100544013,0.2552961403508772,0.07225894736842105,0.0003277184243298158,0.17949138100544013,1
66,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[8]/b[1],4.04,ssn,55,"[0.18153415918376264, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,66,0.18153415918376264,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.18153415918376264,1
67,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[8]/b[2]/i,"Exchange
Procedures.",sst,56,"[0.18153415918376264, 0.2552961403508772, 0.0873080701754386, 0.0003277184243298158]",1,67,0.18153415918376264,0.2552961403508772,0.0873080701754386,0.0003277184243298158,0.18153415918376264,1
68,/html/body/document/type/sequence/filename/description/text/center[14]/div/p[11],11,n,57,"[0.1843416136855214, 0.49549333333333334, 0.009007649122807018, 0.0003277184243298158]",1,68,0.1843416136855214,0.49549333333333334,0.009007649122807018,0.0003277184243298158,0.1843416136855214,1
69,/html/body/document/type/sequence/filename/description/text/center[15]/div/p[5],12,n,58,"[0.1946865919468659, 0.49531789473684207, 0.009358526315789473, 0.0003277184243298158]",1,69,0.1946865919468659,0.49531789473684207,0.009358526315789473,0.0003277184243298158,0.1946865919468659,1
70,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[2]/b[1],4.05,ssn,59,"[0.19765790566078958, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,70,0.19765790566078958,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.19765790566078958,1
71,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[2]/b[2]/i,Anti-Dilution Provisions.,sst,60,"[0.19765790566078958, 0.2552961403508772, 0.09720912280701755, 0.0003277184243298158]",1,71,0.19765790566078958,0.2552961403508772,0.09720912280701755,0.0003277184243298158,0.19765790566078958,1
72,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[3]/b[1],4.06,ssn,61,"[0.201055253326342, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,72,0.201055253326342,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.201055253326342,1
73,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[3]/b[2]/i,Equity-Based Awards.,sst,62,"[0.201055253326342, 0.2552961403508772, 0.08472070175438597, 0.0003277184243298158]",1,73,0.201055253326342,0.2552961403508772,0.08472070175438597,0.0003277184243298158,0.201055253326342,1
74,/html/body/document/type/sequence/filename/description/text/center[16]/div/p[6],13,n,63,"[0.20657184680256058, 0.49531789473684207, 0.009358526315789473, 0.0003277184243298158]",1,74,0.20657184680256058,0.49531789473684207,0.009358526315789473,0.0003277184243298158,0.20657184680256058,1
75,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[4]/b[1],4.07,ssn,64,"[0.2126018658102292, 0.23658456140350875, 0.01871164912280702, 0.0003277184243298158]",1,75,0.2126018658102292,0.23658456140350875,0.01871164912280702,0.0003277184243298158,0.2126018658102292,1
76,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[4]/b[2]/i,Withholding Rights,sst,65,"[0.2126018658102292, 0.2552961403508772, 0.07764280701754386, 0.0003277184243298158]",2,76,0.2126018658102292,0.2552961403508772,0.07764280701754386,0.0003277184243298158,0.2126018658102292,2
77,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[4]/b[3],.,sst,65,"[0.2126018658102292, 0.2552961403508772, 0.07764280701754386, 0.0003277184243298158]",2,77,0.2126018658102292,0.2552961403508772,0.07764280701754386,0.0003277184243298158,0.2126018658102292,2
78,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[5]/b,ARTICLE V,sn,66,"[0.2153328526796443, 0.4743859649122807, 0.05122259649122807, 0.0003277184243298158]",1,78,0.2153328526796443,0.4743859649122807,0.05122259649122807,0.0003277184243298158,0.2153328526796443,1
79,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[6]/b,"Actions
Pending the Effective Time",st,67,"[0.21602106137073693, 0.42975859649122805, 0.14047719298245614, 0.0003277184243298158]",1,79,0.21602106137073693,0.42975859649122805,0.14047719298245614,0.0003277184243298158,0.21602106137073693,1
80,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[7]/b[1],5.01,ssn,68,"[0.21670927006182955, 0.23658456140350875, 0.01637059649122807, 0.0003277184243298158]",1,80,0.21670927006182955,0.23658456140350875,0.01637059649122807,0.0003277184243298158,0.21670927006182955,1
81,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[7]/b[2]/i,Forbearances of CBTC,sst,69,"[0.21670927006182955, 0.2552961403508772, 0.09043298245614034, 0.0003277184243298158]",1,81,0.21670927006182955,0.2552961403508772,0.09043298245614034,0.0003277184243298158,0.21670927006182955,1
82,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[8],(a),sssn,70,"[0.21789998033689453, 0.265219649122807, 0.01272477192982456, 0.0003277184243298158]",1,82,0.21789998033689453,0.265219649122807,0.01272477192982456,0.0003277184243298158,0.21789998033689453,1
83,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[8]/i,Ordinary Course.,ssst,71,"[0.21789998033689453, 0.2779438596491228, 0.06617873684210526, 0.0003277184243298158]",1,83,0.21789998033689453,0.2779438596491228,0.06617873684210526,0.0003277184243298158,0.21789998033689453,1
84,/html/body/document/type/sequence/filename/description/text/center[17]/div/p[10],14,n,72,"[0.22019400930720326, 0.49531789473684207, 0.009358526315789473, 0.0003277184243298158]",1,84,0.22019400930720326,0.49531789473684207,0.009358526315789473,0.0003277184243298158,0.22019400930720326,1
85,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[1],(b),sssn,73,"[0.22112254484280439, 0.265219649122807, 0.010910105263157895, 0.0003277184243298158]",1,85,0.22112254484280439,0.265219649122807,0.010910105263157895,0.0003277184243298158,0.22112254484280439,1
86,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[1]/i,Capital Stock.,ssst,74,"[0.22112254484280439, 0.2784701754385965, 0.053004350877192984, 0.0003277184243298158]",1,86,0.22112254484280439,0.2784701754385965,0.053004350877192984,0.0003277184243298158,0.22112254484280439,1
87,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[2],(c),sssn,75,"[0.2236678246050993, 0.265219649122807, 0.01038378947368421, 0.0003277184243298158]",1,87,0.2236678246050993,0.265219649122807,0.01038378947368421,0.0003277184243298158,0.2236678246050993,1
88,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[2]/i,"Dividends, Etc.",ssst,76,"[0.2236678246050993, 0.2779438596491228, 0.05741228070175439, 0.0003277184243298158]",1,88,0.2236678246050993,0.2779438596491228,0.05741228070175439,0.0003277184243298158,0.2236678246050993,1
89,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[3],(d),sssn,77,"[0.2262131043673942, 0.265219649122807, 0.013251087719298246, 0.0003277184243298158]",1,89,0.2262131043673942,0.265219649122807,0.013251087719298246,0.0003277184243298158,0.2262131043673942,1
90,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[3]/i,Compensation; Employment Agreements; Etc.,ssst,78,"[0.2262131043673942, 0.2784701754385965, 0.17249964912280702, 0.0003277184243298158]",1,90,0.2262131043673942,0.2784701754385965,0.17249964912280702,0.0003277184243298158,0.2262131043673942,1
91,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[4],(e),sssn,79,"[0.22774245701426668, 0.265219649122807, 0.01038378947368421, 0.0003277184243298158]",1,91,0.22774245701426668,0.265219649122807,0.01038378947368421,0.0003277184243298158,0.22774245701426668,1
92,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[4]/i,Benefit Plans.,ssst,80,"[0.22774245701426668, 0.2779438596491228, 0.052478035087719296, 0.0003277184243298158]",1,92,0.22774245701426668,0.2779438596491228,0.052478035087719296,0.0003277184243298158,0.22774245701426668,1
93,/html/body/document/type/sequence/filename/description/text/center[18]/div/p[6],15,n,81,"[0.23037512835638285, 0.49531789473684207, 0.009358526315789473, 0.0003277184243298158]",1,93,0.23037512835638285,0.49531789473684207,0.009358526315789473,0.0003277184243298158,0.23037512835638285,1
94,/html/body/document/type/sequence/filename/description/text/center[19]/div/p[1],(f),sssn,82,"[0.231303663891984, 0.265219649122807, 0.011688561403508772, 0.0003277184243298158]",1,94,0.231303663891984,0.265219649122807,0.011688561403508772,0.0003277184243298158,0.231303663891984,1
95,/html/body/document/type/sequence/filename/description/text/center[19]/div/p[1]/i,Dispositions.,ssst,83,"[0.231303663891984, 0.2769080701754386, 0.04912280701754386, 0.0003277184243298158]",1,95,0.231303663891984,0.2769080701754386,0.04912280701754386,0.0003277184243298158,0.231303663891984,1
96,/html/body/document/type/sequence/filename/description/text/center[19]/div/p[2],(g),sssn,84,"[0.23215573179524152, 0.265219649122807, 0.010910105263157895, 0.0003277184243298158]",1,96,0.23215573179524152,0.265219649122807,0.010910105263157895,0.0003277184243298158,0.23215573179524152,1
