,xpaths,text,all_nodes_ordering
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[1]/p,2.01,24
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[3],The Merger,25
26,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[8]/td[6],9,26
27,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,2.02,27
28,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3],Effective Date and Effective Time,28
29,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],9,29
30,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[1]/p,2.03,30
31,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[3],Tax Consequences,31
32,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[10]/td[6],10,32
33,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[12]/td[1]/p,ARTICLE III,33
34,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[12]/td[3],The Bank Merger,34
35,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[12]/td[6],10,35
36,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[1]/p,3.01,36
37,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[3],The Bank Merger,37
38,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[6],10,38
39,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[14]/td[1]/p,3.02,39
40,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[14]/td[3],Effective Date and Effective Time,40
41,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[14]/td[6],10,41
42,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[1]/p,ARTICLE IV,42
43,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[3],Consideration; Exchange Procedures,43
44,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[16]/td[6],11,44
45,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[1]/p,4.01,45
46,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[3],Merger Consideration,46
47,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[6],11,47
48,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[1]/p,4.02,48
49,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[3],Rights as Shareholders; Stock Transfers,49
50,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[18]/td[6],11,50
51,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[1]/p,4.03,51
52,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[3],Fractional Shares,52
53,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[6],11,53
54,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[1]/p,4.04,54
55,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[3],Exchange Procedures,55
56,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[20]/td[6],11,56
57,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[1]/p,4.05,57
58,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[3],Anti-Dilution Provisions,58
59,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[6],13,59
60,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[1]/p,4.06,60
61,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[3],Equity-Based Awards,61
62,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[22]/td[6],13,62
63,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[1]/p,4.07,63
64,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[3],Withholding Rights,64
65,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[6],14,65
66,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[1]/p,ARTICLE V,66
67,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[3],Actions Pending the Effective Time,67
68,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[6],14,68
69,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[1]/p,5.01,69
70,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[3],Forbearances of CBTC,70
71,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[26]/td[6],14,71
72,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[1]/p,5.02,72
73,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[3],Forbearances of United,73
74,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[6],17,74
75,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[1]/p,ARTICLE VI,75
76,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[3],Representations and Warranties,76
77,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[6],17,77
78,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[30]/td[1]/p,6.01,78
79,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[30]/td[3],Disclosure Schedules,79
80,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[30]/td[6],17,80
81,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[1]/p,6.02,81
82,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[3],Standard,82
83,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[6],18,83
84,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[32]/td[1]/p,6.03,84
85,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[32]/td[3],Representations and Warranties of CBTC,85
86,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[32]/td[6],18,86
87,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[1]/p,6.04,87
88,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[3],Representations and Warranties of United,88
89,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[6],33,89
90,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[1]/p,ARTICLE VII,90
91,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[3],Covenants,91
92,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[6],43,92
93,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[1]/p,7.01,93
94,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[3],Reasonable Best Efforts,94
95,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[36]/td[6],43,95
96,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[1]/p,7.02,96
97,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[3],Shareholder Approval,97
98,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[6],43,98
99,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[1]/p,7.03,99
100,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[3],Registration Statement,100
101,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[38]/td[6],44,101
102,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[1]/p,7.04,102
103,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[3],Access; Information,103
104,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[6],45,104
105,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[1]/p,7.05,105
106,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[3],Acquisition Proposals,106
107,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[40]/td[6],46,107
108,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[1]/p,7.06,108
109,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[3],Takeover Laws,109
110,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[6],46,110
111,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[1]/p,7.07,111
112,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[3],Exemption from Liability Under Section 16(b),112
113,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[42]/td[6],47,113
114,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[1]/p,7.08,114
115,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[3],Regulatory Applications,115
116,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[6],47,116
117,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[1]/p,7.09,117
118,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[3],Indemnification,118
119,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[44]/td[6],48,119
120,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[1]/p,7.10,120
121,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[3],Benefit Plans,121
122,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[6],50,122
123,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[46]/td[1]/p,7.11,123
124,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[46]/td[3],Notification of Certain Matters,124
125,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[46]/td[6],52,125
126,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,126
127,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[2]/td[1]/p,7.12,127
128,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[2]/td[3],Advisory Board,128
129,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[2]/td[6],52,129
130,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[3]/td[1]/p,7.13,130
131,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[3]/td[3],Compliance with Laws,131
132,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[3]/td[6],52,132
133,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[4]/td[1]/p,7.14,133
134,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[4]/td[3],Operating Functions,134
135,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[4]/td[6],52,135
136,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[5]/td[1]/p,7.15,136
137,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[5]/td[3],Assumption of TRUPs,137
138,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[5]/td[6],52,138
139,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[6]/td[1]/p,7.16,139
140,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[6]/td[3],Shareholder Litigation,140
141,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[6]/td[6],52,141
142,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[7]/td[1]/p,7.17,142
143,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[7]/td[3],Dividends,143
144,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[7]/td[6],53,144
145,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[9]/td[1]/p,ARTICLE VIII,145
146,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[9]/td[3],Conditions to Consummation of the Merger,146
147,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[9]/td[6],53,147
148,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[10]/td[1]/p,8.01,148
149,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[10]/td[3],Conditions to Each Party’s Obligation to Effect the Merger,149
150,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[10]/td[6],53,150
151,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[11]/td[1]/p,8.02,151
152,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[11]/td[3],Conditions to Obligation of CBTC,152
153,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[11]/td[6],54,153
154,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[12]/td[1]/p,8.03,154
155,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[12]/td[3],Conditions to Obligation of United,155
156,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[12]/td[6],54,156
157,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[14]/td[1]/p,ARTICLE IX,157
158,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[14]/td[3],Termination,158
159,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[14]/td[6],55,159
160,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[15]/td[1]/p,9.01,160
161,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[15]/td[3],Termination,161
162,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[15]/td[6],55,162
163,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[16]/td[1]/p,9.02,163
164,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[16]/td[3],Effect of Termination and Abandonment,164
165,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[16]/td[6],58,165
166,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[17]/td[1]/p,9.03,166
167,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[17]/td[3],Fees and Expenses,167
168,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[17]/td[6],58,168
169,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[19]/td[1]/p,ARTICLE X,169
170,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[19]/td[3],Miscellaneous,170
171,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[19]/td[6],59,171
172,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[20]/td[1]/p,10.01,172
173,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[20]/td[3],Survival,173
174,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[20]/td[6],59,174
175,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[21]/td[1]/p,10.02,175
176,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[21]/td[3],Waiver; Amendment,176
177,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[21]/td[6],59,177
178,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[22]/td[1]/p,10.03,178
179,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[22]/td[3],Assignment,179
180,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[22]/td[6],59,180
181,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[23]/td[1]/p,10.04,181
182,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[23]/td[3],Counterparts,182
183,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[23]/td[6],60,183
184,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[24]/td[1]/p,10.05,184
185,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[24]/td[3],Governing Law,185
186,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[24]/td[6],60,186
187,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[25]/td[1]/p,10.06,187
188,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[25]/td[3],Expenses,188
189,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[25]/td[6],60,189
190,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[26]/td[1]/p,10.07,190
191,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[26]/td[3],Notices,191
192,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[26]/td[6],60,192
193,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[27]/td[1]/p,10.08,193
194,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[27]/td[3],Entire Understanding; No Third-Party Beneficiaries,194
195,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[27]/td[6],61,195
196,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[28]/td[1]/p,10.09,196
197,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[28]/td[3],Severability,197
198,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[28]/td[6],61,198
199,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[29]/td[1]/p,10.10,199
200,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[29]/td[3],Disclosures,200
201,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[29]/td[6],61,201
202,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[30]/td[1]/p,10.11,202
203,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[30]/td[3],Interpretation; Effect,203
204,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[30]/td[6],61,204
205,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[31]/td[1]/p,10.12,205
206,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[31]/td[3],Publicity,206
207,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[1]/tbody/tr[31]/td[6],62,207
208,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[2]/td[1],Exhibit A,208
209,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[2]/td[3],Plan of Merger merging CBTC with and into United,209
210,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[3]/td[1],Exhibit B,210
211,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[3]/td[3],Bank Merger Agreement,211
212,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[4]/td[1],Exhibit C,212
213,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[4]/td[3],Plan of Merger merging Essex Bank with and into United Bank,213
214,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[5]/td[1],Exhibit D,214
215,/html/body/document/type/sequence/filename/description/text/center[3]/div/table[2]/tbody/tr[5]/td[3],Form of CBTC Support Agreement,215
216,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[4],ii,216
217,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/b,AGREEMENT AND PLAN OF REORGANIZATION,217
218,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1],", dated as of June 2, 2021 (this
“",218
219,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/i[1],Agreement,219
220,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1],"”), by and between COMMUNITY BANKERS TRUST CORPORATION (“",220
221,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/i[2],CBTC,221
222,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1],"”) and UNITED BANKSHARES, INC. (“",222
223,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/i[3],United,223
224,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1],”).,224
225,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[2]/b,RECITALS,225
226,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3],A.,226
227,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3]/u,CBTC,227
228,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[3],".
CBTC is a Virginia corporation, having its principal place of business in Richmond, Virginia.",228
229,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[4],B.,229
230,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[4]/u,United,230
231,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[4],". United is a West Virginia
corporation, having its principal place of business in Charleston, West Virginia.",231
232,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5],C.,232
233,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5]/u,Intentions of the Parties,233
234,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5],". It is the
intention of the parties to this Agreement that the business combination contemplated hereby be treated as a “reorganization” under Section 368 of the Internal Revenue Code of 1986, as amended (the “",234
235,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5]/i,Code,235
236,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[5],"”), and this
Agreement is intended to be adopted as a “plan of reorganization” for purposes of Sections 354 and 361 of the Code.",236
237,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6],D.,237
238,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6]/u,"Board
Action",238
239,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[6],". The respective Boards of Directors of each of United and CBTC have determined that it is in the best interests of their respective companies and their shareholders to consummate the strategic business combination transaction provided for
herein.",239
240,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7],E.,240
241,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7]/u,Support Agreements,241
242,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[7],". Each of the directors of CBTC and Essex Bank in office and who owns shares of CBTC Common Stock as
of the date of this Agreement has, concurrently with the execution of this Agreement, entered into a Support Agreement in substantially the form attached hereto as Exhibit D.",242
243,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[8]/b,"NOW, THEREFORE,",243
244,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[8],"in consideration of the premises and of the mutual covenants, representations, warranties and agreements contained
herein the parties agree as follows:",244
245,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[9]/b,ARTICLE I,245
246,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[10]/b,Certain Definitions,246
247,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[11]/b[1],1.01,247
248,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[11]/b[2],Certain Definitions.,248
249,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[11],The following terms are used in this Agreement with the meanings set forth below:,249
250,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[12],“,250
251,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[12]/i,Acquisition Agreement,251
252,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[12],"” means any letter of intent, memorandum of understanding, agreement in principle, acquisition
agreement, merger agreement, or other similar agreement constituting or related to, or which is intended to or would be reasonably likely to lead to, any Acquisition Proposal.",252
253,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[13],“,253
254,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[13]/i,Acquisition Proposal,254
