,xpaths,text,all_nodes_ordering
28,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,D,28
29,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b/small[3],EVELOPMENT,29
30,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,I,30
31,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b/small[4],NC,31
32,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,".,",32
33,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],a Delaware corporation,33
34,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12],"Dated as
of June 2, 2021",34
35,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,Table of Contents,35
36,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,36
37,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,SECTION 1.,37
38,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[3],THE OFFER,38
39,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[6],2,39
40,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,1.1,40
41,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Offer,41
42,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,42
43,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,1.2,43
44,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Company Actions,44
45,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],5,45
46,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,SECTION 2.,46
47,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[3],MERGER TRANSACTION,47
48,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[6],7,48
49,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[11]/td[1]/p,2.1,49
50,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[11]/td[3],Merger of Purchaser into the Company,50
51,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[11]/td[6],7,51
52,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[1]/p,2.2,52
53,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[3],Effect of the Merger,53
54,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[13]/td[6],7,54
55,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[1]/p,2.3,55
56,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[3],Closing; Effective Time,56
57,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[15]/td[6],7,57
58,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[1]/p,2.4,58
59,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[3],Certificate of Incorporation and Bylaws; Directors and Officers,59
60,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[17]/td[6],8,60
61,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[1]/p,2.5,61
62,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[3],Conversion of Shares,62
63,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[19]/td[6],8,63
64,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[1]/p,2.6,64
65,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[3],Surrender of Certificates; Stock Transfer Books,65
66,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[21]/td[6],9,66
67,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[1]/p,2.7,67
68,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[3],Dissenters’ Rights,68
69,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[23]/td[6],12,69
70,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[1]/p,2.8,70
71,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[3],Treatment of Company Options and Warrants,71
72,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[25]/td[6],12,72
73,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[1]/p,SECTION 3.,73
74,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[3],REPRESENTATIONS AND WARRANTIES OF THE COMPANY,74
75,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[27]/td[6],13,75
76,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[1]/p,3.1,76
77,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[3],"Due Organization; Subsidiaries, Etc.",77
78,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[29]/td[6],13,78
79,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[1]/p,3.2,79
80,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[3],Certificate of Incorporation and Bylaws,80
81,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[31]/td[6],14,81
82,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[1]/p,3.3,82
83,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[3],"Capitalization, Etc.",83
84,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[33]/td[6],14,84
85,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[1]/p,3.4,85
86,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[3],Authority; Binding Nature of Agreement,86
87,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[35]/td[6],15,87
88,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[1]/p,3.5,88
89,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[3]/font,Non-Contravention;,89
90,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[3],Consents,90
91,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[37]/td[6],15,91
92,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[1]/p,3.6,92
93,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[3],SEC Filings; Financial Statements,93
94,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[39]/td[6],16,94
95,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[1]/p,3.7,95
96,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[3],Information Supplied,96
97,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[41]/td[6],17,97
98,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[1]/p,3.8,98
99,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[3],Absence of Changes,99
100,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[43]/td[6],17,100
101,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[1]/p,3.9,101
102,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[3],Real Property,102
103,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[45]/td[6],18,103
104,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[47]/td[1]/p,3.10,104
105,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[47]/td[3],Intellectual Property,105
106,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[47]/td[6],18,106
107,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[49]/td[1]/p,3.11,107
108,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[49]/td[3],Contracts,108
109,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[49]/td[6],20,109
110,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[51]/td[1]/p,3.12,110
111,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[51]/td[3],Liabilities,111
112,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[51]/td[6],21,112
113,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[53]/td[1]/p,3.13,113
114,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[53]/td[3],Compliance with Legal Requirements,114
115,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[53]/td[6],22,115
116,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[55]/td[1]/p,3.14,116
117,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[55]/td[3],Regulatory Matters,117
118,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[55]/td[6],22,118
119,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[57]/td[1]/p,3.15,119
120,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[57]/td[3],Certain Business Practices,120
121,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[57]/td[6],22,121
122,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[59]/td[1]/p,3.16,122
123,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[59]/td[3],Governmental Permits,123
124,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[59]/td[6],23,124
125,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[61]/td[1]/p,3.17,125
126,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[61]/td[3],Tax Matters,126
127,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[61]/td[6],23,127
128,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,128
129,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[1]/b,Table of Contents,129
130,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],(continued),130
131,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[2]/td[5]/b,Page,131
132,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[1]/p,3.18,132
133,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[3],Employee Matters; Benefit Plans,133
134,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[3]/td[6],24,134
135,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[1]/p,3.19,135
136,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[3],Labor Matters,136
137,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[5]/td[6],26,137
138,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[1]/p,3.20,138
139,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[3],Environmental Matters,139
140,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[7]/td[6],26,140
141,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[1]/p,3.21,141
142,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[3],Insurance,142
143,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[9]/td[6],27,143
144,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[1]/p,3.22,144
145,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[3],Legal Proceedings; Orders,145
146,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[11]/td[6],27,146
147,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[1]/p,3.23,147
148,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[3],Takeover Laws,148
149,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[13]/td[6],27,149
150,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[1]/p,3.24,150
151,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[3],Fairness Opinion,151
152,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[15]/td[6],27,152
153,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[1]/p,3.25,153
154,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[3],Financial Advisor,154
155,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[17]/td[6],27,155
156,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[19]/td[1]/p,3.26,156
157,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[19]/td[3],Acknowledgment by Company,157
158,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[19]/td[6],28,158
159,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[21]/td[1]/p,SECTION 4.,159
160,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[21]/td[3],REPRESENTATIONS AND WARRANTIES OF PARENT AND PURCHASER,160
161,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[21]/td[6],28,161
162,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[1]/p,4.1,162
163,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[3],Due Organization,163
164,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[23]/td[6],28,164
165,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[1]/p,4.2,165
166,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[3],Purchaser,166
167,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[25]/td[6],29,167
168,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[1]/p,4.3,168
169,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[3],Authority; Binding Nature of Agreement,169
170,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[27]/td[6],29,170
171,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[1]/p,4.4,171
172,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[3]/font,Non-Contravention;,172
173,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[3],Consents,173
174,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[29]/td[6],29,174
175,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[1]/p,4.5,175
176,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[3],Information Supplied,176
177,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[31]/td[6],30,177
178,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[1]/p,4.6,178
179,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[3],Legal Proceedings; Orders,179
180,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[33]/td[6],30,180
181,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[35]/td[1]/p,4.7,181
182,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[35]/td[3],Funds; Valid Issuance,182
183,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[35]/td[6],30,183
184,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[37]/td[1]/p,4.8,184
185,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[37]/td[3],Ownership of Shares,185
186,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[37]/td[6],31,186
187,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[39]/td[1]/p,4.9,187
188,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[39]/td[3],Acknowledgement by Parent and Purchaser,188
189,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[39]/td[6],31,189
190,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[1]/p,4.10,190
191,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[3],Brokers and Other Advisors,191
192,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[41]/td[6],32,192
193,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[1]/p,4.11,193
194,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[3],Financing.,194
195,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[43]/td[6],32,195
196,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[45]/td[1]/p,SECTION 5.,196
197,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[45]/td[3],CERTAIN COVENANTS OF THE COMPANY,197
198,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[45]/td[6],33,198
199,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[47]/td[1]/p,5.1,199
200,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[47]/td[3],Access and Investigation,200
201,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[47]/td[6],33,201
202,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[49]/td[1]/p,5.2,202
203,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[49]/td[3],Operation of the Acquired Corporations’ Business,203
204,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[49]/td[6],35,204
205,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[51]/td[1]/p,5.3,205
206,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[51]/td[3],No Solicitation,206
207,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[51]/td[6],38,207
208,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[53]/td[1]/p,SECTION 6.,208
209,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[53]/td[3],ADDITIONAL COVENANTS OF THE PARTIES,209
210,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[53]/td[6],39,210
211,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[55]/td[1]/p,6.1,211
212,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[55]/td[3],Company Board Recommendation; Termination,212
213,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[55]/td[6],39,213
214,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[57]/td[1]/p,6.2,214
215,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[57]/td[3],"Filings, Consents and Approvals",215
216,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[57]/td[6],41,216
217,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[59]/td[1]/p,6.3,217
218,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[59]/td[3],Employee Benefits,218
219,/html/body/document/type/sequence/filename/description/text/center[3]/div/table/tbody/tr[59]/td[6],43,219
220,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[5],ii,220
221,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[1]/b,Table of Contents,221
222,/html/body/document/type/sequence/filename/description/text/center[4]/div/p[2],(continued),222
223,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[2]/td[5]/b,Page,223
224,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[3]/td[1]/p,6.4,224
225,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[3]/td[3],Indemnification of Officers and Directors,225
226,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[3]/td[6],44,226
227,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[5]/td[1]/p,6.5,227
228,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[5]/td[3],Stockholder Litigation,228
229,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[5]/td[6],46,229
230,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[1]/p,6.6,230
231,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[3],Additional Agreements,231
232,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[7]/td[6],46,232
233,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[1]/p,6.7,233
234,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[3],Disclosure,234
235,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[9]/td[6],47,235
236,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[11]/td[1]/p,6.8,236
237,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[11]/td[3],Takeover Laws,237
238,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[11]/td[6],47,238
239,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[13]/td[1]/p,6.9,239
240,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[13]/td[3],Section 16 Matters,240
241,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[13]/td[6],47,241
242,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[15]/td[1]/p,6.10,242
243,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[15]/td[3],Rule,243
244,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[15]/td[3]/font,14d-10,244
245,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[15]/td[3],Matters,245
246,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[15]/td[6],47,246
247,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[1]/p,6.11,247
248,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[3],Obligations of Parent,248
249,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[17]/td[6],48,249
250,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[1]/p,6.12,250
251,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[3],Stock Exchange Delisting; Deregistration,251
252,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[19]/td[6],48,252
253,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[1]/p,6.13,253
254,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[3],Company Warrants,254
255,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[21]/td[6],48,255
256,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[23]/td[1]/p,6.14,256
257,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[23]/td[3],Parent Financing,257
258,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[23]/td[6],48,258
259,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[25]/td[1]/p,SECTION 7.,259
260,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[25]/td[3],CONDITIONS PRECEDENT TO THE MERGER,260
261,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[25]/td[6],50,261
262,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[27]/td[1]/p,7.1,262
263,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[27]/td[3],No Restraints,263
264,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[27]/td[6],50,264
265,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[29]/td[1]/p,7.2,265
266,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[29]/td[3],Consummation of Offer,266
267,/html/body/document/type/sequence/filename/description/text/center[4]/div/table/tbody/tr[29]/td[6],50,267
